23 août 2022;33033,52;33138,26;32858,89;32909,59;32909,59;251870000,0;
22 août 2022;33586,59;33586,59;33007,63;33063,61;33063,61;308900000,0;
19 août 2022;33904,69;33904,69;33627,09;33706,74;33706,74;293990000,0;
18 août 2022;33981,86;34043,83;33844,46;33999,04;33999,04;282550000,0;
17 août 2022;34029,55;34161,01;33828,41;33980,32;33980,32;281390000,0;
16 août 2022;33924,35;34281,36;33852,57;34152,01;34152,01;288670000,0;
15 août 2022;33710,7;33954,71;33582,96;33912,44;33912,44;262670000,0;
12 août 2022;33430,72;33767,09;33398,32;33761,05;33761,05;299140000,0;
11 août 2022;33451,51;33651,8;33289,83;33336,67;33336,67;308030000,0;
10 août 2022;33130,63;33364,41;33130,63;33309,51;33309,51;311740000,0;
09 août 2022;32807,36;32877,53;32702,66;32774,41;32774,41;281080000,0;
08 août 2022;32877,36;33109,96;32769,1;32832,54;32832,54;275350000,0;
05 août 2022;32593,9;32814,61;32489,62;32803,47;32803,47;273010000,0;
04 août 2022;32805,69;32829,22;32652,63;32726,82;32726,82;315590000,0;
03 août 2022;32514,21;32912,74;32514,21;32812,5;32812,5;342160000,0;
02 août 2022;32691,29;32772,93;32387,12;32396,17;32396,17;316740000,0;
01 août 2022;32755,71;32972,03;32640,79;32798,4;32798,4;321180000,0;
29 juil, 2022;32515,62;32910,18;32493,02;32845,13;32845,13;487360000,0;
28 juil, 2022;32197,62;32609,54;31982,61;32529,63;32529,63;331110000,0;
27 juil, 2022;31865,05;32336,23;31799,43;32197,59;32197,59;365480000,0;
26 juil, 2022;31950,04;31950,04;31705,36;31761,54;31761,54;324930000,0;
25 juil, 2022;31950,93;32029,03;31821,67;31990,04;31990,04;255450000,0;
22 juil, 2022;32167,92;32219,25;31731,47;31899,29;31899,29;319880000,0;
21 juil, 2022;31826,49;32040,63;31534,08;32036,9;32036,9;302320000,0;
20 juil, 2022;31829,99;31944,45;31646,95;31874,84;31874,84;313520000,0;
19 juil, 2022;31165,91;31842,25;31165,91;31827,05;31827,05;378720000,0;
18 juil, 2022;31475,98;31644,68;30982,97;31072,61;31072,61;309960000,0;
15 juil, 2022;30775,37;31288,26;30775,37;31288,26;31288,26;321570000,0;
14 juil, 2022;30451,8;30680,12;30143,93;30630,17;30630,17;325130000,0;
13 juil, 2022;30743,63;30979,17;30514,61;30772,79;30772,79;291830000,0;
12 juil, 2022;31113,31;31346,1;30860,51;30981,33;30981,33;324190000,0;
11 juil, 2022;31277,98;31367,55;31114,4;31173,84;31173,84;245020000,0;
